date and time,value
[2020-04-10 15:02:50.517] ,720
[2020-04-10 15:02:50.617] ,726
[2020-04-10 15:02:50.717] ,702
[2020-04-10 15:02:50.821] ,676
[2020-04-10 15:02:50.921] ,678
[2020-04-10 15:02:51.021] ,705
[2020-04-10 15:02:51.121] ,727
[2020-04-10 15:02:51.221] ,693
[2020-04-10 15:02:51.322] ,693
[2020-04-10 15:02:51.421] ,722
[2020-04-10 15:02:51.522] ,740
[2020-04-10 15:02:51.623] ,716
[2020-04-10 15:02:51.724] ,678
[2020-04-10 15:02:51.818] ,681
[2020-04-10 15:02:51.924] ,729
[2020-04-10 15:02:52.024] ,756
[2020-04-10 15:02:52.124] ,720
[2020-04-10 15:02:52.224] ,710
[2020-04-10 15:02:52.325] ,696
[2020-04-10 15:02:52.425] ,716
[2020-04-10 15:02:52.525] ,712
[2020-04-10 15:02:52.625] ,667
[2020-04-10 15:02:52.726] ,655
[2020-04-10 15:02:52.827] ,681
[2020-04-10 15:02:52.922] ,708
[2020-04-10 15:02:53.022] ,703
[2020-04-10 15:02:53.122] ,696
[2020-04-10 15:02:53.222] ,701
[2020-04-10 15:02:53.322] ,703
[2020-04-10 15:02:53.422] ,655
[2020-04-10 15:02:53.521] ,628
[2020-04-10 15:02:53.621] ,636
[2020-04-10 15:02:53.721] ,696
[2020-04-10 15:02:53.830] ,692
[2020-04-10 15:02:53.931] ,682
[2020-04-10 15:02:54.031] ,686
[2020-04-10 15:02:54.130] ,728
[2020-04-10 15:02:54.232] ,750
[2020-04-10 15:02:54.333] ,682
[2020-04-10 15:02:54.432] ,656
[2020-04-10 15:02:54.533] ,674
[2020-04-10 15:02:54.633] ,740
[2020-04-10 15:02:54.733] ,753
[2020-04-10 15:02:54.829] ,738
[2020-04-10 15:02:54.925] ,726
[2020-04-10 15:02:55.031] ,725
[2020-04-10 15:02:55.134] ,713
[2020-04-10 15:02:55.234] ,676
[2020-04-10 15:02:55.334] ,604
[2020-04-10 15:02:55.434] ,627
[2020-04-10 15:02:55.534] ,714
[2020-04-10 15:02:55.634] ,734
[2020-04-10 15:02:55.734] ,708
[2020-04-10 15:02:55.835] ,715
[2020-04-10 15:02:55.935] ,727
[2020-04-10 15:02:56.036] ,736
[2020-04-10 15:02:56.136] ,652
[2020-04-10 15:02:56.237] ,614
[2020-04-10 15:02:56.337] ,648
[2020-04-10 15:02:56.437] ,721
[2020-04-10 15:02:56.538] ,756
[2020-04-10 15:02:56.637] ,735
[2020-04-10 15:02:56.737] ,728
[2020-04-10 15:02:56.837] ,737
[2020-04-10 15:02:56.937] ,729
[2020-04-10 15:02:57.037] ,644
[2020-04-10 15:02:57.137] ,560
[2020-04-10 15:02:57.237] ,661
[2020-04-10 15:02:57.337] ,739
[2020-04-10 15:02:57.437] ,768
[2020-04-10 15:02:57.537] ,769
[2020-04-10 15:02:57.637] ,747
[2020-04-10 15:02:57.737] ,728
[2020-04-10 15:02:57.839] ,692
[2020-04-10 15:02:57.940] ,601
[2020-04-10 15:02:58.040] ,597
[2020-04-10 15:02:58.140] ,722
[2020-04-10 15:02:58.240] ,754
[2020-04-10 15:02:58.341] ,772
[2020-04-10 15:02:58.441] ,766
[2020-04-10 15:02:58.542] ,759
[2020-04-10 15:02:58.642] ,735
[2020-04-10 15:02:58.742] ,638
[2020-04-10 15:02:58.842] ,598
[2020-04-10 15:02:58.942] ,626
[2020-04-10 15:02:59.043] ,709
[2020-04-10 15:02:59.143] ,748
[2020-04-10 15:02:59.244] ,739
[2020-04-10 15:02:59.344] ,738
[2020-04-10 15:02:59.444] ,754
[2020-04-10 15:02:59.544] ,734
[2020-04-10 15:02:59.644] ,716
[2020-04-10 15:02:59.745] ,725
[2020-04-10 15:02:59.845] ,749
[2020-04-10 15:02:59.945] ,757
[2020-04-10 15:03:00.037] ,754
[2020-04-10 15:03:00.137] ,725
[2020-04-10 15:03:00.237] ,746
[2020-04-10 15:03:00.337] ,716
[2020-04-10 15:03:00.446] ,708
[2020-04-10 15:03:00.546] ,662
[2020-04-10 15:03:00.646] ,676
[2020-04-10 15:03:00.746] ,721
[2020-04-10 15:03:00.847] ,727
[2020-04-10 15:03:00.947] ,693
[2020-04-10 15:03:01.048] ,674
[2020-04-10 15:03:01.148] ,670
[2020-04-10 15:03:01.248] ,665
[2020-04-10 15:03:01.348] ,646
[2020-04-10 15:03:01.449] ,596
[2020-04-10 15:03:01.549] ,589
[2020-04-10 15:03:01.649] ,649
[2020-04-10 15:03:01.750] ,674
[2020-04-10 15:03:01.850] ,680
[2020-04-10 15:03:01.951] ,694
