date and time,value
[2020-04-10 15:48:20.427] ,229
[2020-04-10 15:48:20.527] ,523
[2020-04-10 15:48:20.627] ,568
[2020-04-10 15:48:20.727] ,577
[2020-04-10 15:48:20.833] ,642
[2020-04-10 15:48:20.933] ,668
[2020-04-10 15:48:21.034] ,665
[2020-04-10 15:48:21.134] ,655
[2020-04-10 15:48:21.234] ,640
[2020-04-10 15:48:21.334] ,499
[2020-04-10 15:48:21.434] ,373
[2020-04-10 15:48:21.534] ,207
[2020-04-10 15:48:21.635] ,100
[2020-04-10 15:48:21.734] ,128
[2020-04-10 15:48:21.834] ,84
[2020-04-10 15:48:21.934] ,62
[2020-04-10 15:48:22.034] ,84
[2020-04-10 15:48:22.134] ,86
[2020-04-10 15:48:22.235] ,56
[2020-04-10 15:48:22.335] ,64
[2020-04-10 15:48:22.436] ,153
[2020-04-10 15:48:22.536] ,84
[2020-04-10 15:48:22.635] ,69
[2020-04-10 15:48:22.735] ,81
[2020-04-10 15:48:22.828] ,64
[2020-04-10 15:48:22.928] ,55
[2020-04-10 15:48:23.038] ,192
[2020-04-10 15:48:23.137] ,180
[2020-04-10 15:48:23.237] ,103
[2020-04-10 15:48:23.337] ,115
[2020-04-10 15:48:23.437] ,128
[2020-04-10 15:48:23.537] ,78
[2020-04-10 15:48:23.637] ,58
[2020-04-10 15:48:23.737] ,84
[2020-04-10 15:48:23.838] ,56
[2020-04-10 15:48:23.939] ,57
[2020-04-10 15:48:24.040] ,181
[2020-04-10 15:48:24.140] ,132
[2020-04-10 15:48:24.239] ,78
[2020-04-10 15:48:24.340] ,161
[2020-04-10 15:48:24.440] ,110
[2020-04-10 15:48:24.539] ,70
[2020-04-10 15:48:24.641] ,113
[2020-04-10 15:48:24.741] ,171
[2020-04-10 15:48:24.842] ,100
[2020-04-10 15:48:24.941] ,69
[2020-04-10 15:48:25.041] ,78
[2020-04-10 15:48:25.141] ,56
[2020-04-10 15:48:25.242] ,40
[2020-04-10 15:48:25.344] ,172
[2020-04-10 15:48:25.446] ,180
[2020-04-10 15:48:25.543] ,99
[2020-04-10 15:48:25.643] ,74
[2020-04-10 15:48:25.743] ,68
[2020-04-10 15:48:25.843] ,57
[2020-04-10 15:48:25.936] ,53
[2020-04-10 15:48:26.036] ,84
[2020-04-10 15:48:26.136] ,56
[2020-04-10 15:48:26.236] ,50
[2020-04-10 15:48:26.336] ,60
[2020-04-10 15:48:26.436] ,49
[2020-04-10 15:48:26.536] ,46
[2020-04-10 15:48:26.645] ,196
[2020-04-10 15:48:26.745] ,168
[2020-04-10 15:48:26.845] ,99
[2020-04-10 15:48:26.945] ,97
[2020-04-10 15:48:27.045] ,85
[2020-04-10 15:48:27.146] ,58
[2020-04-10 15:48:27.247] ,173
[2020-04-10 15:48:27.348] ,233
[2020-04-10 15:48:27.447] ,169
[2020-04-10 15:48:27.548] ,104
[2020-04-10 15:48:27.647] ,76
[2020-04-10 15:48:27.747] ,61
[2020-04-10 15:48:27.848] ,216
[2020-04-10 15:48:27.949] ,367
[2020-04-10 15:48:28.048] ,341
[2020-04-10 15:48:28.150] ,196
[2020-04-10 15:48:28.249] ,124
[2020-04-10 15:48:28.349] ,80
[2020-04-10 15:48:28.450] ,117
[2020-04-10 15:48:28.550] ,334
[2020-04-10 15:48:28.650] ,412
[2020-04-10 15:48:28.750] ,327
[2020-04-10 15:48:28.851] ,166
[2020-04-10 15:48:28.951] ,115
[2020-04-10 15:48:29.050] ,76
[2020-04-10 15:48:29.149] ,64
[2020-04-10 15:48:29.250] ,67
[2020-04-10 15:48:29.351] ,64
[2020-04-10 15:48:29.451] ,51
[2020-04-10 15:48:29.551] ,42
[2020-04-10 15:48:29.652] ,48
[2020-04-10 15:48:29.752] ,40
[2020-04-10 15:48:29.852] ,49
[2020-04-10 15:48:29.948] ,248
[2020-04-10 15:48:30.048] ,277
[2020-04-10 15:48:30.148] ,162
[2020-04-10 15:48:30.247] ,94
[2020-04-10 15:48:30.348] ,76
[2020-04-10 15:48:30.448] ,60
[2020-04-10 15:48:30.548] ,121
[2020-04-10 15:48:30.647] ,346
[2020-04-10 15:48:30.747] ,346
[2020-04-10 15:48:30.856] ,213
[2020-04-10 15:48:30.957] ,114
[2020-04-10 15:48:31.056] ,103
[2020-04-10 15:48:31.155] ,68
[2020-04-10 15:48:31.256] ,161
[2020-04-10 15:48:31.357] ,366
[2020-04-10 15:48:31.457] ,338
[2020-04-10 15:48:31.557] ,209
[2020-04-10 15:48:31.658] ,116
[2020-04-10 15:48:31.756] ,84
[2020-04-10 15:48:31.857] ,67
[2020-04-10 15:48:31.958] ,132
[2020-04-10 15:48:32.059] ,300
