date and time,value
[2020-04-10 15:43:23.933] ,440
[2020-04-10 15:43:24.033] ,357
[2020-04-10 15:43:24.133] ,216
[2020-04-10 15:43:24.232] ,127
[2020-04-10 15:43:24.333] ,228
[2020-04-10 15:43:24.434] ,460
[2020-04-10 15:43:24.539] ,470
[2020-04-10 15:43:24.634] ,218
[2020-04-10 15:43:24.733] ,109
[2020-04-10 15:43:24.833] ,75
[2020-04-10 15:43:24.934] ,181
[2020-04-10 15:43:25.035] ,201
[2020-04-10 15:43:25.135] ,113
[2020-04-10 15:43:25.234] ,76
[2020-04-10 15:43:25.336] ,70
[2020-04-10 15:43:25.435] ,354
[2020-04-10 15:43:25.536] ,422
[2020-04-10 15:43:25.636] ,276
[2020-04-10 15:43:25.736] ,148
[2020-04-10 15:43:25.834] ,90
[2020-04-10 15:43:25.934] ,331
[2020-04-10 15:43:26.034] ,438
[2020-04-10 15:43:26.134] ,249
[2020-04-10 15:43:26.234] ,133
[2020-04-10 15:43:26.334] ,84
[2020-04-10 15:43:26.434] ,93
[2020-04-10 15:43:26.534] ,168
[2020-04-10 15:43:26.634] ,142
[2020-04-10 15:43:26.734] ,78
[2020-04-10 15:43:26.844] ,50
[2020-04-10 15:43:26.939] ,70
[2020-04-10 15:43:27.039] ,223
[2020-04-10 15:43:27.140] ,159
[2020-04-10 15:43:27.240] ,93
[2020-04-10 15:43:27.340] ,65
[2020-04-10 15:43:27.442] ,104
[2020-04-10 15:43:27.543] ,272
[2020-04-10 15:43:27.643] ,274
[2020-04-10 15:43:27.743] ,173
[2020-04-10 15:43:27.844] ,110
[2020-04-10 15:43:27.937] ,166
[2020-04-10 15:43:28.037] ,396
[2020-04-10 15:43:28.137] ,490
[2020-04-10 15:43:28.237] ,508
[2020-04-10 15:43:28.337] ,522
[2020-04-10 15:43:28.437] ,538
[2020-04-10 15:43:28.537] ,546
[2020-04-10 15:43:28.637] ,545
[2020-04-10 15:43:28.737] ,540
[2020-04-10 15:43:28.845] ,542
[2020-04-10 15:43:28.945] ,543
[2020-04-10 15:43:29.045] ,544
[2020-04-10 15:43:29.147] ,543
[2020-04-10 15:43:29.246] ,534
[2020-04-10 15:43:29.346] ,521
[2020-04-10 15:43:29.447] ,538
[2020-04-10 15:43:29.547] ,542
[2020-04-10 15:43:29.647] ,508
[2020-04-10 15:43:29.747] ,450
[2020-04-10 15:43:29.847] ,442
[2020-04-10 15:43:29.947] ,496
[2020-04-10 15:43:30.049] ,537
[2020-04-10 15:43:30.149] ,546
[2020-04-10 15:43:30.248] ,532
[2020-04-10 15:43:30.348] ,513
[2020-04-10 15:43:30.449] ,505
[2020-04-10 15:43:30.549] ,485
[2020-04-10 15:43:30.650] ,465
[2020-04-10 15:43:30.749] ,448
[2020-04-10 15:43:30.847] ,448
[2020-04-10 15:43:30.947] ,447
[2020-04-10 15:43:31.047] ,440
[2020-04-10 15:43:31.147] ,434
[2020-04-10 15:43:31.247] ,429
[2020-04-10 15:43:31.347] ,430
[2020-04-10 15:43:31.447] ,433
[2020-04-10 15:43:31.547] ,410
[2020-04-10 15:43:31.647] ,423
[2020-04-10 15:43:31.747] ,423
[2020-04-10 15:43:31.852] ,440
[2020-04-10 15:43:31.952] ,450
[2020-04-10 15:43:32.052] ,518
[2020-04-10 15:43:32.153] ,412
[2020-04-10 15:43:32.253] ,382
[2020-04-10 15:43:32.353] ,392
[2020-04-10 15:43:32.453] ,405
[2020-04-10 15:43:32.553] ,406
[2020-04-10 15:43:32.654] ,413
[2020-04-10 15:43:32.753] ,98
[2020-04-10 15:43:32.854] ,326
[2020-04-10 15:43:32.954] ,316
[2020-04-10 15:43:33.054] ,315
[2020-04-10 15:43:33.155] ,283
[2020-04-10 15:43:33.255] ,278
[2020-04-10 15:43:33.355] ,320
[2020-04-10 15:43:33.455] ,355
[2020-04-10 15:43:33.554] ,336
[2020-04-10 15:43:33.656] ,317
[2020-04-10 15:43:33.755] ,319
[2020-04-10 15:43:33.847] ,365
[2020-04-10 15:43:33.955] ,282
[2020-04-10 15:43:34.055] ,182
[2020-04-10 15:43:34.155] ,140
[2020-04-10 15:43:34.254] ,109
[2020-04-10 15:43:34.354] ,171
[2020-04-10 15:43:34.454] ,132
[2020-04-10 15:43:34.554] ,88
