,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
21,2935759928.0,0.0,6.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,13.0,3.0,0.0,0.0,1.0,52.0,1.0,7.0,0.0,0.0,1.0,0.0,2.0,5.0,4.0,0.0,5.0,0.0,13.0,3.0,3.0,0.0,41.0,0.0,21.0,0.0,2.0,6.0,2.0,0.0,6.0,3.0,6.0,9.0,3.0,6.0,2.0,5.0,2.0,2.0,1.0,15.0,71.0,24.0,4.0,7.0,0.0
22,393843874.0,2.0,1.0,3.0,2.0,8.0,0.0,7.0,1.0,0.0,2.0,0.0,5.0,9.0,0.0,0.0,7.0,3.0,1.0,16.0,0.0,1.0,0.0,0.0,1.0,11.0,8.0,2.0,12.0,0.0,14.0,1.0,3.0,0.0,4.0,0.0,7.0,7.0,12.0,1.0,10.0,0.0,11.0,3.0,9.0,8.0,7.0,3.0,0.0,11.0,13.0,7.0,4.0,0.0,3.0,17.0,9.0,4.0,6.0
23,3999676762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,406196541.0,0.0,4.0,2.0,1.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,2.0,1.0,0.0,0.0,5.0,3.0,4.0,2.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,1.0,0.0,7.0,2.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,4.0,7.0
25,4574311770.0,10.0,13.0,19.0,10.0,38.0,0.0,26.0,5.0,1.0,9.0,0.0,35.0,9.0,7.0,1.0,26.0,8.0,6.0,32.0,0.0,5.0,11.0,0.0,5.0,0.0,8.0,13.0,49.0,0.0,43.0,2.0,13.0,2.0,2.0,3.0,36.0,15.0,51.0,7.0,47.0,0.0,20.0,6.0,53.0,32.0,3.0,2.0,0.0,77.0,25.0,0.0,1.0,0.0,4.0,44.0,19.0,32.0,25.0
26,4733464693.0,1.0,3.0,7.0,1.0,11.0,1.0,8.0,0.0,0.0,4.0,0.0,9.0,10.0,1.0,0.0,2.0,3.0,1.0,16.0,0.0,4.0,8.0,0.0,3.0,8.0,0.0,6.0,7.0,0.0,13.0,0.0,1.0,0.0,7.0,0.0,33.0,4.0,6.0,1.0,13.0,0.0,4.0,4.0,10.0,15.0,20.0,4.0,3.0,12.0,8.0,13.0,6.0,3.0,20.0,22.0,20.0,8.0,5.0
27,500461506.0,3.0,4.0,5.0,6.0,14.0,0.0,8.0,4.0,0.0,4.0,0.0,11.0,4.0,2.0,1.0,3.0,3.0,4.0,9.0,0.0,0.0,2.0,0.0,4.0,13.0,6.0,0.0,11.0,0.0,12.0,3.0,1.0,5.0,1.0,2.0,9.0,6.0,14.0,7.0,12.0,0.0,4.0,0.0,13.0,11.0,1.0,1.0,1.0,20.0,5.0,0.0,0.0,0.0,3.0,19.0,5.0,16.0,11.0
28,536542792.0,18.0,9.0,11.0,13.0,48.0,0.0,58.0,5.0,0.0,9.0,0.0,60.0,10.0,8.0,3.0,38.0,6.0,5.0,43.0,1.0,5.0,12.0,0.0,2.0,49.0,7.0,11.0,0.0,0.0,85.0,5.0,21.0,2.0,3.0,1.0,55.0,19.0,43.0,7.0,67.0,0.0,46.0,7.0,89.0,27.0,4.0,4.0,1.0,91.0,50.0,0.0,1.0,0.0,3.0,57.0,19.0,36.0,23.0
29,583127755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,602858739.0,11.0,19.0,11.0,14.0,45.0,0.0,52.0,6.0,1.0,13.0,0.0,57.0,12.0,7.0,2.0,52.0,7.0,9.0,73.0,0.0,13.0,14.0,0.0,9.0,43.0,13.0,12.0,85.0,0.0,0.0,12.0,25.0,5.0,12.0,2.0,105.0,17.0,53.0,17.0,51.0,0.0,57.0,9.0,76.0,29.0,9.0,14.0,1.0,101.0,46.0,11.0,4.0,3.0,50.0,101.0,33.0,38.0,32.0
31,6325.0,0.0,25.0,0.0,39.0,8.0,0.0,9.0,0.0,5.0,1.0,0.0,65.0,1.0,2.0,0.0,0.0,0.0,5.0,13.0,4.0,3.0,1.0,0.0,2.0,2.0,0.0,3.0,5.0,0.0,12.0,0.0,40.0,0.0,0.0,0.0,14.0,0.0,2.0,23.0,11.0,0.0,2.0,0.0,23.0,6.0,0.0,5.0,2.0,149.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,25.0,4.0
32,64261339.0,3.0,7.0,1.0,46.0,12.0,1.0,10.0,6.0,13.0,2.0,0.0,69.0,1.0,8.0,0.0,11.0,0.0,18.0,16.0,4.0,3.0,3.0,0.0,2.0,13.0,1.0,1.0,21.0,0.0,25.0,40.0,0.0,13.0,0.0,2.0,36.0,6.0,18.0,14.0,20.0,0.0,14.0,3.0,58.0,2.0,0.0,0.0,0.0,219.0,12.0,0.0,0.0,0.0,1.0,13.0,5.0,22.0,8.0
