,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
20,3313615699.0,8.0,10.0,5.0,9.0,1.0,5.0,14.0,2.0,0.0,0.0,2.0,6.0,9.0,13.0,14.0,9.0,3.0,6.0,8.0,0.0,1.0,3.0,2.0,0.0,10.0,0.0,5.0,4.0,0.0,0.0,0.0,12.0,9.0,6.0,6.0,6.0,5.0,10.0,0.0,9.0,11.0,0.0,7.0,6.0,9.0,2.0
21,3425184941.0,1.0,2.0,1.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,5.0,0.0,2.0,4.0,1.0,0.0,0.0,2.0,7.0,3.0,0.0,6.0,7.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,4.0,0.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0
22,427819419.0,34.0,28.0,2.0,22.0,1.0,3.0,31.0,6.0,0.0,9.0,8.0,20.0,11.0,28.0,42.0,10.0,16.0,6.0,6.0,3.0,0.0,0.0,1.0,5.0,8.0,0.0,26.0,3.0,9.0,1.0,0.0,16.0,22.0,8.0,3.0,7.0,4.0,17.0,0.0,18.0,18.0,0.0,10.0,6.0,7.0,1.0
23,438142822.0,6.0,7.0,2.0,7.0,2.0,5.0,8.0,2.0,0.0,1.0,0.0,1.0,7.0,9.0,13.0,9.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,7.0,0.0,5.0,3.0,1.0,0.0,0.0,9.0,5.0,1.0,4.0,2.0,2.0,6.0,0.0,5.0,6.0,0.0,4.0,5.0,4.0,1.0
24,464391387.0,21.0,5.0,0.0,12.0,0.0,0.0,11.0,12.0,0.0,3.0,22.0,3.0,1.0,3.0,20.0,2.0,4.0,0.0,4.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,36.0,54.0,16.0,0.0,2.0,4.0,1.0,3.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
25,469439419.0,62.0,96.0,11.0,57.0,21.0,58.0,222.0,2.0,0.0,0.0,1.0,18.0,91.0,256.0,316.0,114.0,57.0,26.0,51.0,10.0,3.0,8.0,7.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0,228.0,148.0,127.0,31.0,8.0,38.0,150.0,0.0,61.0,130.0,11.0,104.0,171.0,39.0,67.0
26,4777301054.0,4.0,4.0,0.0,7.0,5.0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,38.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
27,48626994.0,87.0,47.0,3.0,93.0,41.0,9.0,79.0,48.0,0.0,19.0,33.0,23.0,18.0,37.0,80.0,37.0,24.0,12.0,11.0,5.0,6.0,26.0,5.0,36.0,15.0,38.0,0.0,110.0,31.0,0.0,3.0,40.0,22.0,15.0,12.0,18.0,12.0,30.0,0.0,19.0,22.0,0.0,11.0,12.0,14.0,1.0
28,486339595.0,50.0,32.0,2.0,28.0,38.0,4.0,71.0,19.0,0.0,8.0,11.0,5.0,17.0,38.0,73.0,41.0,23.0,7.0,13.0,4.0,7.0,3.0,3.0,54.0,30.0,1.0,110.0,0.0,17.0,0.0,0.0,39.0,19.0,12.0,8.0,6.0,4.0,26.0,0.0,12.0,33.0,0.0,13.0,24.0,13.0,1.0
29,525811990.0,29.0,8.0,1.0,12.0,0.0,0.0,8.0,9.0,0.0,3.0,13.0,4.0,0.0,6.0,15.0,4.0,3.0,0.0,1.0,0.0,0.0,9.0,1.0,16.0,0.0,17.0,31.0,17.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
30,536637306.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,558721586.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
32,7.097239205139374e+17,88.0,119.0,13.0,84.0,28.0,41.0,351.0,5.0,0.0,3.0,9.0,21.0,105.0,279.0,448.0,203.0,96.0,47.0,73.0,12.0,4.0,16.0,9.0,4.0,228.0,0.0,40.0,39.0,2.0,0.0,1.0,0.0,129.0,112.0,44.0,15.0,79.0,164.0,0.0,73.0,187.0,7.0,102.0,163.0,61.0,25.0
33,7.399879963052974e+17,64.0,82.0,11.0,45.0,14.0,103.0,149.0,3.0,0.0,5.0,9.0,20.0,66.0,260.0,225.0,82.0,52.0,25.0,33.0,9.0,2.0,22.0,5.0,1.0,148.0,0.0,22.0,19.0,1.0,0.0,0.0,129.0,0.0,137.0,30.0,14.0,32.0,135.0,0.0,67.0,100.0,11.0,89.0,139.0,30.0,102.0
34,7.852951984232817e+17,45.0,43.0,7.0,24.0,14.0,87.0,111.0,1.0,0.0,2.0,6.0,10.0,29.0,210.0,188.0,62.0,44.0,24.0,32.0,6.0,1.0,8.0,1.0,3.0,127.0,0.0,15.0,12.0,2.0,0.0,0.0,112.0,137.0,0.0,19.0,11.0,28.0,102.0,0.0,62.0,65.0,17.0,83.0,116.0,13.0,117.0
35,8.202752320573481e+17,25.0,31.0,5.0,20.0,6.0,7.0,62.0,3.0,0.0,1.0,6.0,8.0,19.0,41.0,58.0,41.0,18.0,19.0,19.0,6.0,2.0,3.0,4.0,3.0,31.0,0.0,12.0,8.0,3.0,0.0,0.0,44.0,30.0,19.0,0.0,7.0,16.0,36.0,0.0,18.0,42.0,0.0,23.0,32.0,21.0,1.0
36,8.336860175886172e+17,47.0,24.0,25.0,11.0,2.0,7.0,31.0,2.0,0.0,2.0,6.0,6.0,38.0,18.0,26.0,13.0,14.0,10.0,6.0,6.0,2.0,7.0,2.0,2.0,8.0,0.0,18.0,6.0,6.0,0.0,1.0,15.0,14.0,11.0,7.0,0.0,7.0,14.0,0.0,10.0,12.0,0.0,5.0,4.0,11.0,1.0
37,8.56836808319144e+17,26.0,25.0,8.0,24.0,13.0,13.0,52.0,0.0,0.0,1.0,3.0,8.0,23.0,54.0,71.0,40.0,15.0,16.0,24.0,5.0,0.0,4.0,2.0,0.0,38.0,0.0,12.0,4.0,0.0,0.0,0.0,79.0,32.0,28.0,16.0,7.0,0.0,56.0,0.0,19.0,38.0,0.0,29.0,33.0,13.0,3.0
38,8.795290616382095e+17,72.0,82.0,12.0,68.0,19.0,36.0,193.0,2.0,0.0,4.0,13.0,21.0,78.0,202.0,242.0,111.0,55.0,35.0,48.0,10.0,4.0,17.0,6.0,2.0,150.0,0.0,30.0,26.0,2.0,0.0,0.0,164.0,135.0,102.0,36.0,14.0,56.0,0.0,0.0,68.0,122.0,10.0,104.0,129.0,43.0,63.0
39,89870136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,9.040182692327834e+17,53.0,47.0,8.0,35.0,9.0,17.0,88.0,2.0,0.0,3.0,8.0,14.0,38.0,82.0,105.0,52.0,33.0,17.0,24.0,9.0,2.0,18.0,5.0,1.0,61.0,0.0,19.0,12.0,3.0,0.0,0.0,73.0,67.0,62.0,18.0,10.0,19.0,68.0,0.0,0.0,59.0,9.0,45.0,61.0,15.0,20.0
